,Book,Author,Edition,Ratings_out_of_5,Rating_QTY
69,Ordeal by Innocence,Agatha Christie,178 editions,3.79,12351.0
70,"N or M? (Tommy and Tuppence, #3)",Agatha Christie,166 editions,3.75,15670.0
71,Parker Pyne Investigates,Agatha Christie,1 edition,3.76,13425.0
72,"The Labours of Hercules (Hercule Poirot, #27)",Agatha Christie,Hugh Fraser,3.78,14144.0
73,Why Didn't They Ask Evans?,Agatha Christie,185 editions,3.85,15676.0
74,"The Secret of Chimneys (Superintendent Battle, #1)",Agatha Christie,85 editions,3.87,13521.0
75,Death Comes as the End,Agatha Christie,Steven Saylor,3.84,13801.0
76,"The Seven Dials Mystery (Superintendent Battle, #2)",Agatha Christie,159 editions,3.78,14487.0
77,"Taken at the Flood (Hercule Poirot, #28)",Agatha Christie,178 editions,3.71,11914.0
78,"Murder in the Mews (Hercule Poirot, #18)",Agatha Christie,Hugh Fraser,3.76,12005.0
79,They Came to Baghdad,Agatha Christie,166 editions,3.79,12591.0
80,"Murder Is Easy  (Superintendent Battle, #4)",Agatha Christie,196 editions,3.74,13239.0
81,Partners in Crime (Tommy and Tuppence #2),Agatha Christie,159 editions,3.77,11828.0
82,Best Detective Stories of Agatha Christie,Agatha Christie,4 editions,3.99,364.0
83,"The Adventure of the Christmas Pudding (Hercule Poirot, #35)",Agatha Christie,112 editions,3.76,9800.0
84,The Pale Horse,Agatha Christie,143 editions,3.76,11625.0
85,"By the Pricking of My Thumbs (Tommy and Tuppence, #4)",Agatha Christie,150 editions,3.72,12099.0
86,"Agatha Christie (Pequeña & GRANDE, #5)",Mª Isabel Sánchez Vegara,Elisa Munsó,4.14,365.0
87,"Towards Zero (Superintendent Battle, #5)",Agatha Christie,183 editions,3.87,11982.0
88,The Sittaford Mystery,Agatha Christie,3 editions,3.7,11694.0
89,Three Blind Mice and Other Stories,Agatha Christie,111 editions,3.85,10463.0
90,"The Mysterious Mr. Quin (Harley Quin, #1)",Agatha Christie,123 editions,3.72,9640.0
91,The Lost Days of Agatha Christie,Carole Owens,7 editions,3.31,173.0
92,"Poirot's Early Cases: 18 Hercule Poirot Mysteries (Hercule Poirot, #41)",Agatha Christie,Hugh Fraser,3.92,7749.0
93,Agatha Christie Gift Set,Agatha Christie,1 edition,4.47,59.0
94,Agatha Christie Collection,Agatha Christie,1 edition,4.39,74.0
95,"Postern of Fate (Tommy and Tuppence, #5)",Agatha Christie,6 editions,3.23,7727.0
96,Hercule Poirot: The Complete Short Stories,Agatha Christie,30 editions,4.3,6091.0
97,Destination Unknown,Agatha Christie,60 editions,3.66,7859.0
98,Miss Marple: The Complete Short Stories (Miss Marple #15),Agatha Christie,1 edition,4.19,8114.0
99,Passenger to Frankfurt,Agatha Christie,139 editions,2.96,7363.0
100,"Agatha Christie's ""A Murder is Announced""",Leslie Darbon,Agatha Christie,3.7645,163.5
101,The Agatha Christie Companion,Dennis Sanders,Len Lovallo,3.94,62.0
102,Spider's Web,Agatha Christie,Charles Osborne,3.83,6389.0
103,The Mystery of Agatha Christie,Gwen Robyns,5 editions,3.28,57.0
104,"The Regatta Mystery and Other Stories (Hercule Poirot, #21)",Agatha Christie,60 editions,3.95,6415.0
105,An Autobiography,Agatha Christie,Robert Welch Herrick,4.27,5211.0
106,Miss Marple's Final Cases (Miss Marple #14),Agatha Christie,78 editions,3.81,5634.0
107,Agatha Christie: The Finished Portrait,Andrew Norman,7 editions,3.27,56.0
108,Agatha Christie Mystery,Agatha Christie,1 edition,4.32,47.0
109,The Witness for the Prosecution and Other Stories,Agatha Christie,108 editions,3.93,4334.0
110,The Golden Ball and Other Stories,Agatha Christie,32 editions,4.05,5746.0
111,The Mousetrap and Other Plays,Agatha Christie,25 editions,4.02,4941.0
112,Agatha Christie,Mary S. Wagnor,1 edition,3.57,22490.029197080294
113,"While the Light Lasts (Hercule Poirot, #45)",Agatha Christie,69 editions,3.62,2584.0
114,The Hound of Death,Agatha Christie,86 editions,3.49,4087.0
115,"Problem at Pollensa Bay and Other Stories (Hercule Poirot, #43)",Agatha Christie,48 editions,3.56,2583.0
116,"The Under Dog and Other Stories (Hercule Poirot, #29)",Agatha Christie,48 editions,3.74,3119.0
117,A Different Kind of Evil (Agatha Christie #2),Andrew    Wilson,3 editions,3.53,277.0
118,The Early Classics of Agatha Christie,Agatha Christie,3 editions,4.18,302.0
119,The Complete Works of Agatha Christie,Agatha Christie,1 edition,4.65,68.0
120,"Double Sin and Other Stories (Hercule Poirot, #36)",Agatha Christie,36 editions,3.81,3188.0
121,"The Harlequin Tea Set and Other Stories (Hercule Poirot, #44)",Agatha Christie,29 editions,3.74,3168.0
122,Zeventiende Agatha Christie vijfling,Agatha Christie,G.R. de Bruin,3.88,24.0
123,Agatha Christie: The Lost Plays,Agatha Christie,Richard     Williams,3.72,43.0
124,Agatha Christie,Alexandri Ferran,2 editions,3.5,22490.029197080294
125,Duchess of Death: The Unauthorized Biography of Agatha Christie,Richard Hack,7 editions,4.11,840.0
126,Masterpieces in Miniature: The Detectives: Stories by Agatha Christie,Agatha Christie,1 edition,4.29,546.0
127,Agatha Christie: A Reader's Companion,Vanessa Innes-Wagstaff,Stephen Poole,3.76,38.0
128,Six Stories by Agatha Christie,Agatha Christie,Pina Spelta,4.1,21.0
129,The Complete Christie: An Agatha Christie Encyclopedia,Matthew Bunson,3 editions,4.21,61.0
130,Agatha Christie: The Real-Life Agatha Christie Mystery,Albert Jack,8 editions,3.7645,3.0
131,The Listerdale Mystery And Eleven Other Stories,Agatha Christie,Hugh Fraser,3.55,2943.0
132,Agatha Christie,R.A. York,5 editions,3.67,22490.029197080294
133,An Agatha Christie Chronology,Nancy Blue Wynne,1 edition,3.81,31.0
134,Murder Will Out (Agatha Christie Investigates #1),Alison Joseph,5 editions,3.7,135.0
135,1950s Omnibus,Agatha Christie,5 editions,4.3,46.0
136,The Unexpected Guest: A Play In Two Acts,Agatha Christie,2 editions,3.83,2830.0
137,"Hercule Poirot and the Greenshore Folly (Hercule Poirot, #45.7)",Agatha Christie,25 editions,3.88,2216.0
138,"1920s Agatha Christie, Volume Three",Agatha Christie,1 edition,4.5,70.0
139,The Agatha Christie Who's Who,Randall Toye,5 editions,3.6,20.0
